,premise,hypothesis,label,explanation,language
129,Leute auf einem Bauernmarkt.,Die Familie ist in der Nähe eines Bauernmarktes.,neutral,"Sie können nicht folgern, dass die Menschen eine Familie sind.",german
130,"Zwei männliche Fußballspieler auf gegnerischen Teams versuchen, den Fußball zu bekommen.",Zwei Frauen treten in einem Tennisspiel an.,contradiction,Die männlichen Spieler und Frauen Spieler gehören zu verschiedenen Geschlechtern. Menschen können nicht Fußball und Tennis gleichzeitig spielen.,german
131,Eine Gruppe von Fußballspielern steht hinter einem Coaching-Beamten.,Sie sind College-Footballspieler.,neutral,"Fußballspieler können nicht impliziert werden, auf dem College zu sein.",german
132,"Eine Frau wendet Lippen Make-up auf eine andere Frau an, die anscheinend etwas Grün in ihren Haaren hat.",Das Mädchen macht sich fertig.,entailment,"Ein Mädchen ist eine Frau, während die Anwendung Lippen Make-up muss immer Make-up.",german
133,"Zwei Mädchen in Winterjacken, Strickmützen und Glvoes sind draußen im Schnee.",Die Mädchen bauen einen Schneemann.,neutral,"Nur weil zwei Mädchen draußen im Schnee sind, bedeutet das nicht, dass sie einen Schneemann bauen.",german
134,"Ein kleiner Junge, der ein gelbes, weißes und schwarzes gestreiftes Hemd trägt, flüstert einem kleinen Mädchen, das ein weißes langärmeliges Hemd trägt, ein Geheimnis.",Der kleine Junge ist gute Freunde mit dem Mädchen.,neutral,"Man kann nicht schlussfolgern, dass sie Freunde sind.",german
135,"Mehrere Frauen, die Kleider tragen, tanzen im Wald.",Die Frauen sind älter,neutral,"Das Wort ""Frauen"" bedeutet nicht, dass die Menschen älter sind.",german
136,Eine asiatische junge Frau trägt ein weißes Hemd und schwarze Hose hält eine rosa Handtasche.,Die Frau hält eine Handtasche.,entailment,Die junge asiatische Frau hält die rosa Handtasche,german
137,"Ein Mann in einem lila und blauen Hemd und Shorts macht sich bereit, einen Golfball zu schlagen.",Ein Mann ist auf einem Golfplatz.,neutral,"Wir haben keine Ahnung, der Mann ist auf einem Golfplatz, Sie können einen Golfball überall schlagen",german
138,Zwei Männer mit passenden T-Shirts falten ein Handtuch im Wohnzimmer.,Zwei Männer mit passenden Baseball-Team-Shirts falten ein Handtuch.,neutral,Man kann die Hemden nicht für ein Baseball-Team ableiten.,german
139,"Ein Mann, der einen braunen Hoodie trägt, kauft Snacks ein.",Der Mann ist in einem Laden.,neutral,Der Mann könnte für Snacks irgendwo anders als ein Geschäft einkaufen.,german
140,Eine Gruppe von Männern reitet auf einem sich bewegenden Gehweg.,Eine Gruppe von Frauen backt in einer Küche.,contradiction,"In Satz 1 ist es eine Gruppe von Männern, die auf einem beweglichen Gehweg reiten, während in Satz 2 es eine Gruppe von Frauen ist, die in der Küche backen.",german
141,Menschen kaufen Gemüse auf einem Outdoor-Markt.,"Leute, die nach Gemüsen auf einem schönen Markt einkaufen.",neutral,Der Markt kann nett sein oder nicht.,german
142,"Ein Kind mit einem roten Oberteil steht hinter einem blonden Kopfkind, das in einer Schubkarre sitzt.","Ein Kind, das ein rotes Oberteil trägt, steht auf einem blonden Kopfkind",contradiction,"Das Kind steht entweder auf einem blonden Kind, das hinter ihm steht.",german
143,"Zwei Männer tragen ein schwarzes Lächeln, während eine sitzende Frau hinter ihnen müde aussieht.",Die Frau hatte einen langen Tag.,neutral,"Eine Frau, die saß und müde war, hatte vielleicht nicht unbedingt einen langen Tag.",german
144,"Fußballspieler spielen ein Nachtspiel und der Ball ist in der Luft, während die beiden Teams dafür kämpfen.",Das Fußballspiel wird in der Nacht gespielt.,entailment,"Wenn Fußballspieler ein Nachtspiel spielen, dann wird das Spiel in der Nacht gespielt.",german
145,Eine Frau in einer roten Jacke geht im Regen die Straße entlang.,"Frauen mögen Regen nicht, gehen aber trotzdem durch.",neutral,"Wir haben keine Ahnung, ob sie Regen nicht mag oder nicht, vielleicht liebt sie Regen.",german
146,"Ein Junge, der ein gelbes Hemd und blaue Hosen trägt, klettert auf einen Baum in einem hügeligen Gebiet.",Der Junge spielt Videospiele oben in seinem Zimmer.,contradiction,Der Junge kann nicht gleichzeitig einen Baum klettern und Videospiele spielen,german
147,Zwei Frauen in Badeanzügen spielen am Strand.,Zwei Frauen in Bikinis flirten mit Jungs.,neutral,"Nicht alle Badeanzüge sind Bikinis. Spielen am Strand bedeutet nicht, mit Jungs zu flirten.",german
148,Ein Motorradfahrer fliegt durch die Luft über einen Schmutzpfad.,Die Person fährt ein Motorrad,entailment,"Die Person, die ein Motorrad fährt, wird Motorradfahrer genannt.",german
149,"Zwei Menschen, die mit Seilen mit leuchtend orangen Helmen verbunden sind, sitzen auf einem Felsfelsen hoch in den Bergen.",Die Leute klettern mit Seil.,entailment,Klettern mit Seil impliziert verbunden mit Seilen.,german
150,"Ein Stopplicht mit zwei Fahrradsymbolen, einem links drehenden grünen Pfeil und einem roten Vorwärtssignal steht im Vordergrund, während ein Mann mit weißem Hut und blauen Hemdrädern auf einem roten Weg steht.",Dieser Mann ist draußen.,entailment,Fahrräder können nur draußen sein,german
151,"Ein Mann ohne Hemd und eine Frau, bekleidet, springend ins Wasser.",Ein Mann und eine Frau springen spontan in einen eiskalten Fluss.,neutral,"Wir haben keine Ahnung, ob sie Mann und Frau sind, sie könnten jeder andere sein. Wir haben keine Ahnung, ob sie spontan sind oder ob dies geplant war. Wir haben keine Ahnung von der Temperatur des Wassers könnte es eiskalt oder warm sein.",german
152,Ein Mann steht an zwei Gesichtsstrukturen auf der Osterinsel.,Ein Mann auf der Osterinsel.,entailment,Auf Osterinsel impliziert steht auf Osterinsel.,german
153,"Ein blauer LKW fährt auf einer Wüstenstraße, die mehrere Menschen und jede Menge sortierter Fracht befördert.",Ein LKW fährt,entailment,Ein LKW fährt genauso wie ein Lkw fährt.,german
154,Während der Reise ruht eine Frau in einer schwarzen Jacke auf der Schulter eines Mannes in einer schwarzen Jacke.,Eine Frau ruht auf der Schulter eines Mannes,entailment,"Das Ausruhen auf der Schulter eines Mannes wird neu gestaltet, wie es auf der Schulter eines Mannes ruht.",german
155,"Ein Baby untersucht, was wie ein Teleskop aussieht.","Ein Kind schaut durch ein Teleskop, das auf den Planeten Jupiter gerichtet ist.",neutral,Eine Person kann andere Dinge als den Planeten Jupiter durch ein Teleskop betrachten.,german
156,Ein Mann springt von einer Klippe mit Blick auf die Stadt.,Der Mensch geht einen Hügel hinunter.,contradiction,"Wenn ein Mann springt, kann er nicht gleichzeitig spazieren gehen.",german
157,"Eine Frau in einer schwarzen Jacke und einem schwarz-weiß gestreiften Rock beobachtet eine Frau, die mit einem kleinen Jungen auf Betonschritten sitzt.","Eine Frau beobachtet, wie eine Mutter mit ihrem kleinen Sohn spricht.",neutral,"Der kleine Junge braucht nicht ihr Sohn zu sein, es könnte ein anderer Junge sein.",german
158,Eine ältere weiße Frau macht Cupcakes in ihrer Küche.,Eine alte Frau backt.,entailment,Und ältere Frau ist eine alte Frau.,german
159,Eine weibliche Softballspielerin in einer schwarzen und roten Uniform mit einem roten Schlaghelm hält ihre Fledermaus auf den Pitch warten.,Eine Person in einer Uniform,entailment,Ein Weibchen ist eine Person.,german
160,"Eine Gruppe von Kindern, aufgeteilt in ein maroon Team und ein blaues Team, das ein Fußballspiel spielt.",Einige Kinder spielen Fußball an einer Schule.,neutral,"Kinder, die ein Fußballspiel spielen, implizieren nicht, dass es von einer Schule ist.",german
161,Eine Gruppe von Menschen steht in der Nähe und auf einem großen schwarzen Quadrat auf dem Boden mit einigen gelben Schrift darauf.,eine Person liegt auf der Couch,contradiction,Die Person kann keine Gruppe von Menschen sein.,german
162,Ein Mann mit schwarzem Schnitzstein.,Der Mann ist sehr groß.,neutral,"Ein Mann kann einen schwarzen Stein tragen, ohne groß zu sein.",german
163,ein junges Paar beide tragen weiße Hemden und blaue Jeans stehen in einem hellen Nebel regen,Ein passendes Paar kühlt im Regen ab.,neutral,"Das Paar kühlt ab, aber nicht alle wollen im Regen sein.",german
164,Ein Mann sitzt an einem Tisch in einem Zimmer.,Ein Mann sitzt.,entailment,"Der Mann, der sitzt, ist an einem Tisch in einem Raum.",german
165,"ein kleiner brauner und weißer Hund, der neben einem Mann durch den Pool schwimmt.","Ein Mann zwingt seine Katze, zu lernen, wie man ein Sprungbrett benutzt.",contradiction,Das Tier ist entweder ein Hund oder eine Katze.,german
166,Mann und Frau essen einen Hotdog.,Ein Mann und eine Frau essen einen Hotdog bei einem Baseballspiel.,neutral,"Hotdog kann jederzeit getan werden, auch wenn es kein Baseballspiel ist.",german
167,Eine Frau malt ein Wandbild des Gesichtes einer Frau.,"Es gibt eine Frau, die zum Spaß malt.",neutral,"Du kannst nicht folgern, dass sie zum Spaß malt.",german
168,Zwei Kinder laufen an einem Dinosaurier im Wald vorbei.,Einige Kinder im Wald gehen an einem Plastik-Triceratops vorbei.,neutral,Der Dinosaurier ist nicht unbedingt ein Plastik-Triceratops.,german
169,Ein älteres Männchen bläst Luft in ein Objekt.,Der ältere Mann hat einen Ballon in die Luft gejagt.,neutral,"Luft in ein Objekt zu blasen bedeutet nicht unbedingt, einen Ballon in die Luft zu sprengen.",german
170,Ein junger Mann wartet auf einer Bank mit seiner Tasche hinter ein paar Anzeigen in London.,Der junge Mann ist 60 Jahre alt.,contradiction,Ein Mann kann nicht gleichzeitig jung und 60 Jahre alt sein.,german
171,"Ein paar Frauen reden miteinander, während einer ihre Zigarette streichelt.",Eines der Weibchen ist ein Raucher.,entailment,"Ein Paar Weibchen sind Weibchen, und das Streichen ihrer Zigarette impliziert Raucher.",german
172,"Eine vietnamesische Frau trägt ein graues Oberteil trägt große klare Taschen von Lebensmitteln mit einem Stock, um alles auf ihrer Schulter auszugleichen.","Eine große Person, die Sachen trägt",neutral,"Wir haben keine Ahnung, ob die Person groß oder kurz ist.",german
173,Eine asiatische Technologie Demonstration von Computern und anderen Gadgets.,Die Asiaten mögen mexikanisches Essen.,contradiction,Eine asiatische Technologiedemonstration kann mexikanisches Essen nicht mögen.,german
174,"Ein Sänger, der eine Lederjacke trägt, tritt auf der Bühne mit dramatischer Beleuchtung hinter sich auf.",ein Sänger ist auf amerikanischem Idol,neutral,"Auf der Bühne zu sein bedeutet nicht, dass man auf amerikanischem Idol ist.",german
175,ein schwarzer Hund jagt einen Jungen mit Rot und Blau.,ein Hund jagt einen Jungen,entailment,Ein schwarzer Hund ist ein Hund.,german
176,"Zwei Frauen biegen sich um, um ein kleines Känguru zu berühren.",Zwei Frauen streicheln ein Känguru,entailment,"""Ein Känguru"" ist eine andere Formulierung für ""ein Känguru"" zu berühren.",german
177,"Eine Frau steht lächelnd, während sie eine ausgestopfte Katze hält.",Eine Frau hält ein ausgestopftes Tier.,entailment,Eine ausgestopfte Katze ist ein ausgestopftes Tier.,german
178,Drei junge Frauen tanzen in einem überfüllten Saal.,Drei junge Frauen treten vor einem großen Publikum auf.,entailment,Aufführung von drei jungen Frauentanz vor einem großen Publikum ist wirklich erstaunlich!!!,german
179,Basketball Schiedsrichter beobachtet ein Team-Spieler hängen aus dem Reifen.,"Ein Mann, der hart arbeitet.",neutral,"Nicht alle Schiedsrichter sind Männer. Es gibt keinen Hinweis darauf, dass der Schiedsrichter das Spiel arbeitet, das er beobachtet, und außerdem kein Hinweis darauf, dass er hart daran arbeitet.",german
180,Ein Weibchen in der Mitte eines Fahrzeugs hält eine Kamera und zeigt sie auf den Rücksitz.,Ein Mädchen ist in einem Fahrzeug.,entailment,Das Mädchen ist auf dem Rücksitz eines Fahrzeugs.,german
181,Die Hockeyspieler und Schiedsrichter bereiten sich auf ein Gesicht vor.,"Die Spieler und Schiedsrichter sind bereit, das Spiel zu starten.",neutral,"Wir haben keine Ahnung, ob dies der Beginn des Spiels ist, es könnte nach einer Pause sein.",german
182,"Ein kleiner Junge, der ein blaues Hemd trägt, spielt im Kinderbecken.",Junge Abkühlung während des Sommers,neutral,"Du kannst dich im Kinderbecken abkühlen, ohne zu spielen.",german
183,"Zwei Männer, die rote Jacken tragen, schauen über etwas Wasser und ein Mann hat gelbe Ohrhörer an seinen Ohren.","Einige Männer, die Jacken tragen, schauen über das Wasser und man hat Kopfhörer drin.",entailment,"Zwei Männer impliziert, es gibt mehr als einen Mann, daher kann das Wort einige verwendet werden, um zwei zu ersetzen.",german
184,"Ein älterer Mann mit Hut spielt auf der Straße ein Akkordeon, während er auf einem Stuhl sitzt.",Ein Busker trägt einen Hut.,neutral,"Ein älterer Mann mit Hut, der auf der Straße Akkordeon spielt, während er auf einem Stuhl sitzt, ist nicht immer ein Busker.",german
185,Die braunen und schwarzen Hunde tragen ein großes Logbuch in der Wiese.,Hunde laufen durch eine Pfütze mit Wasser.,contradiction,Ein großes Holz in der Wiese zu tragen ist anders als durch eine Pfütze mit Wasser zu laufen.,german
186,"Fünf Menschen knien zwischen zwei Parkwagen, und ein Mann nähert sich mit in die Luft erhobenem Arm.",Ein seltsames Ritual wird durchgeführt.,neutral,"Nur weil die Leute seltsam handeln, bedeutet das nicht, dass sie ein Ritual durchführen.",german
187,Ein Mann sitzt an einem Tisch in einem Zimmer.,Ein Mann sitzt und wartet auf jemanden.,neutral,"Sie können nicht folgern, dass er auf jemanden wartet.",german
188,Mehrere jüngere Menschen sitzen vor einer Statue.,Mehrere junge Leute sitzen draußen,neutral,Die Statue ist vielleicht nicht draußen.,german
189,"Eine Fußballmannschaft steht auf dem Spielfeld und wartet auf ihre Zeit, um einen Schritt zu machen.",Die Leute spielen draußen Sport.,entailment,"Fußball ist ein Sport, der normalerweise draußen auf einem Feld gespielt wird.",german
190,ein Fußballer mit einer roten Uniform geht nach einem Spiel in der Nähe eines Parkplatzes vom Feld.,Es gibt ein Feld mit einem Parkplatz.,entailment,"Wenn das Feld einen Parkplatz hat, ist es in der Nähe eines Parkplatzes.",german
191,Zwei Hunde schauen durch einen rostigen Drahtzaun.,Zwei Hunde schlafen am Kamin.,contradiction,die Hunde suchen oder schlafen.,german
192,"Eine Frau in einem grauen Kimono geht an einem schwarzen Auto vorbei, mitten in einer überfüllten Straße voller japanischer Schilder, mit einem Mann in einem orangefarbenen Hemd und khaki Slacks.",Eine Frau läuft eine belebte Straße entlang.,entailment,Eine überfüllte Straße ist eine belebte Straße.,german
193,Ein Mann in Gläsern und ein orangefarbenes Hemd sitzt draußen neben einem Tisch mit Getränken darauf.,Ein Mann sitzt draußen an einem Tisch,entailment,"Neben einer Tabelle impliziert, dass der Mann durch eine Tabelle ist",german
194,"Eine weiße Frau, die in der Schlange wartet.",Da wartet eine Frau auf eine Freundin.,neutral,"Eine Frau, die in der Schlange wartet, wartet nicht unbedingt auf einen Freund.",german
195,"Die Familie sitzt auf einem Grasfeld, während andere vorbeigehen.",Die Familie ist draußen.,entailment,Das Grasfeld ist draußen zu sehen.,german
196,Ein weißer Hund hält einen Tennisball in seinem Mund auf einem Feld.,Der Hund jagt einem rollenden Tennisball nach.,contradiction,"Wenn ein Hund einen Tennisball hält, der bedeutet, dass der Hund bereits den Ball hat, nicht ihn zu jagen.",german
197,Ein Mann und ein Kind malen einen Pfosten.,Vater und Sohn reparieren das Schild.,neutral,Nicht alle Pfosten sind Teil eines Zeichens. Malen ist nicht das gleiche wie reparieren.,german
198,"Ein älterer Mann in einem Krawatten-Stirnhemd, der einen roten Schlüssel für einen Jungen in Blau langweilt.","Es gibt einen Mann, der andere beim Spielen von Instrumenten beobachtet.",contradiction,"Wenn der Mann spielt, würde er andere nicht spielen sehen.",german
199,"Ein junges Mädchen lacht und jagt Tauben auf der Straße, wo andere Leute in der Nähe laufen.","Ein junges Mädchen runzelt die Stirn, als sie ihren Eiszapfen fallen lässt.",contradiction,"Das Mädchen lacht entweder, oder sie runzelt.",german
200,Zwei Menschen gehen zu einem Ziegelgebäude mit einem bunten Wandbild an der Seite.,"Zwei Männer, die in einem Auto an einem Ziegelgebäude vorbeifahren.",contradiction,Man kann nicht gleichzeitig mit einem Auto gehen und fahren.,german
